";ghi;dni;dhi;temp_air;rh;ws10;TECHNOLOGYNAME_hydro_inflow";Hydro_Reservoir_inflow;PumpedHydro_Closed_inflow;ghi;dni;dhi;temp_air;rh;ws10
"2022-01-10 17:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.02;95.55;0.55
"2022-01-10 18:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.57;95.5;0.76
"2022-01-10 19:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-4.45;99.4;1.03
"2022-01-10 20:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-5.54;99.4;1.24
"2022-01-10 21:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-6.8;91.65;1.45
"2022-01-10 22:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-8.31;91.55;1.72
"2022-01-10 23:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-9.71;99.4;1.93
"2022-01-11 00:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-10.97;99.4;2.07
"2022-01-11 01:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-11.25;95.3;2.14
"2022-01-11 02:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-11.93;95.3;2.28
"2022-01-11 03:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-12.8;95.25;2.41
"2022-01-11 04:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-13.43;91.25;2.41
"2022-01-11 05:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-13.55;95.2;2.55
"2022-01-11 06:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-13.72;95.2;2.69
"2022-01-11 07:00:00;;;;;;;";0.0;0;37.0;0.0;37.0;-13.18;95.25;2.62
"2022-01-11 08:00:00;;;;;;;";0.0;0;59.0;0.0;59.0;-10.72;95.3;2.62
"2022-01-11 09:00:00;;;;;;;";0.0;0;77.0;0.0;77.0;-7.44;91.6;2.83
"2022-01-11 10:00:00;;;;;;;";0.0;0;86.0;0.0;86.0;-3.56;88.2;3.45
"2022-01-11 11:00:00;;;;;;;";0.0;0;87.0;0.0;87.0;-1.94;84.85;3.79
"2022-01-11 12:00:00;;;;;;;";0.0;0;82.0;0.0;82.0;-1.16;78.5;3.79
"2022-01-11 13:00:00;;;;;;;";0.0;0;118.0;2.84;117.0;-0.66;75.55;3.72
"2022-01-11 14:00:00;;;;;;;";0.0;0;48.0;0.0;48.0;-0.85;78.5;3.03
"2022-01-11 15:00:00;;;;;;;";0.0;0;27.0;11.53;26.0;-1.5;75.35;3.1
"2022-01-11 16:00:00;;;;;;;";0.0;0;0.0;0.0;0.0;-3.01;78.2;3.1
